app_name,categoryId,reviewId,sentenceId,at,score,feature,review,sentence
Telegram X,SOCIAL,46391414-8239-44cd-9ecd-67b40b87170d,0,"Jul 30, 2022",1,f_339,"From the last 30 days I am facing some serious problem with telegram, not even a single document is downloading, I have tried many ways to fix this problem but no progress.. anyone plz tell me how to fix this","From the last 30 days I am facing some serious problem with telegram, not even a single document is downloading, I have tried many ways to fix this problem but no progress.. anyone plz tell me how to fix this"
Turtl,PRODUCTIVITY,090957c3-813b-446e-9d33-fdde6a4726f9,1,"Aug 24, 2019",5,f_310,Very cool so far. Basic and encrypted. Nice and simple layout. Syncs to Windows. Hoping to support it after some testing,Basic and encrypted.
Weekly Planner,PRODUCTIVITY,94eb7232-ae51-40dd-a6e0-06ac16611345,0,"Feb 07, 2022",1,f_494,It just didnt give me the satisfaction of a everyday planner that i like,It just didnt give me the satisfaction of a everyday planner that i like
Sticker maker,TOOLS,f89d778f-64e7-466c-8562-9a53c48ee627,0,"Apr 30, 2022",4,f_32,"Good app, but I didn't like the feature of adding the sticker keyboard because I had to restart my phone every time I had to make a sticker pack","Good app, but I didn't like the feature of adding the sticker keyboard because I had to restart my phone every time I had to make a sticker pack"
Instagram,SOCIAL,8c6aed73-7979-4db4-b7fc-89f2f60dc01f,0,"Sep 14, 2022",5,f_417,Instagram is my app to browse or watch videos and more,Instagram is my app to browse or watch videos and more
Google Assistant Go,TOOLS,7ddde6e3-7728-4f94-b718-a96d37f6d690,0,"Jun 11, 2022",1,f_258,Add all linking apps combined ex: translate all written text formats.,Add all linking apps combined ex: translate all written text formats.
Fabulous Daily Routine Planner,HEALTH_AND_FITNESS,9e05887c-d453-41f5-bd87-c487ab6d91d6,0,"Aug 01, 2022",4,f_492,"This is my favorite wellness app because it lets me choose different categories of well being to focus on. I can choose practicing something, healthier food choices or short exercise breaks. The Fabulous app is like having a friend with good habits to help me. I like the science based approach too.",This is my favorite wellness app because it lets me choose different categories of well being to focus on.
Huawei Health,HEALTH_AND_FITNESS,dbad3d60-c2b8-4d9e-80fc-64ff550fd811,0,"Dec 08, 2021",1,f_278,Synchronization does not work for me. I have been unable to synchronize for more than two weeks.,Synchronization does not work for me.
Telegram,COMMUNICATION,8bebdd68-ccc8-402d-9dad-ce1eea56fdb6,0,"Sep 10, 2022",4,f_128,Suggestion please change name of video chat to audio chat or give separate option people in group gets confused even if audio chat is going on it shows as video chat some people will not join.,Suggestion please change name of video chat to audio chat or give separate option people in group gets confused even if audio chat is going on it shows as video chat some people will not join.
Telegram,COMMUNICATION,247e1850-a82b-4c80-9afe-1747842eaa17,0,"Sep 13, 2022",5,f_174,Nice app but add an option of Private Chat which can be seen by adding only password and Patterns,Nice app but add an option of Private Chat which can be seen by adding only password and Patterns
Cozi Family Organizer,PRODUCTIVITY,070cb3f4-688b-4ce5-8db7-73f54251362c,1,"Jul 12, 2022",5,f_101,"No complaints. It works great for a shared family calendar, grocery lists, and to-do lists. I can put assignments on my husband's to-do list.","It works great for a shared family calendar, grocery lists, and to-do lists."
"OurHome – chores, rewards, gro",LIFESTYLE,a11e2e2e-b174-47aa-9e25-a4eef5a5a2d1,2,"Nov 04, 2020",5,f_330,"I've tried LOTS of family organisers and this is by far the best imo. It has a few bugs and could do with a few more features like widgets and calender integration but that said, this is a truly free app. There is no subscriptions, NO adds and no in app purchases. It seems if its loaded up with too much content it tends to slow down so I decided to use a different app for groceries and has worked perfect since. I would gladly pay for this app if that meant it became more robust.","There is no subscriptions, NO adds and no in app purchases."
