"iteration","app_name","categoryId","reviewId","sentenceId","at","score","feature","review","sentence","Joy","Trust","Fear","Surprise","Sadness","Disgust","Anger","Anticipation","Neutral","Reject"
"iteration_8","Wemoji - WhatsApp Sticker Make","COMMUNICATION","eda96dd8-716b-4a60-8a61-a1ec64394746","0","Oct 07, 2021","3","f_32","Okay so this app is great, but problem is that it didn't add the stickers to whatsapp. It said that it did, and i tried refreshing it lots of times and the stickers did not show in whatsapp. Please fix this, thank you","Okay so this app is great, but problem is that it didn't add the stickers to whatsapp.","0","0","0","0","1","0","0","0","0","0"
"iteration_8","Play Services Info (Update)","TOOLS","97aa3a86-d5bc-4b26-84e2-4b5c37143dd0","0","Jun 28, 2021","2","f_259","Will this app fix broken hyperlinks issue?","Will this app fix broken hyperlinks issue?","0","0","0","0","0","0","0","1","0","0"
"iteration_8","Habit Hunter: RPG goal tracker","PRODUCTIVITY","d3f9449b-454f-4b78-9209-d5a2a78e5bc2","2","Jun 22, 2022","5","f_498","I really like this so far. I have been looking for something that will allow me to have goals, tasks and habit building all in one. This app has all of that plus the gamification that me as an Old School D&D guy really enjoys. Well done design team, well done.","This app has all of that plus the gamification that me as an Old School D&D guy really enjoys.","1","0","0","0","0","0","0","0","0","0"
"iteration_8","Wemoji - WhatsApp Sticker Make","COMMUNICATION","d6f41c5d-b6b2-4fa1-913a-8a69e9239edb","0","Jan 02, 2022","5","f_32","Good app but recently faced some issues to make some animated sticker..... Over all gets the job done","Good app but recently faced some issues to make some animated sticker.....","0","0","0","0","1","0","0","0","0","0"
"iteration_8","ColorNote Notepad Notes","PRODUCTIVITY","5723d654-d7d7-4624-a2e9-8b076d07c160","2","Aug 04, 2022","5","f_247","LOVE this app. Use it all the time for all kinds of notes. The checklist and text formats are super helpful and I need the color coding it allows. It backs up very nicely. I like the calender feature but its alert is a little too easy to ignore and forget by day's end.","The checklist and text formats are super helpful and I need the color coding it allows.","1","0","0","0","0","0","0","0","0","0"
"iteration_8","Telegram","COMMUNICATION","398fbb21-f963-4f83-ae27-a560f8a38e19","0","Sep 09, 2022","5","f_339","This is really amazing telegram deserve the 5 star because of its quality and when you send a picture is not that blur.","This is really amazing telegram deserve the 5 star because of its quality and when you send a picture is not that blur.","1","0","0","0","0","0","0","0","0","0"
"iteration_8","ColorNote Notepad Notes","PRODUCTIVITY","77739e7d-1140-49e3-84bd-b7111c248c45","1","Jun 12, 2022","3","f_258","This app is okay for basic needs, but it lacks picture inserting, voice recordings, text formatting and other things. On the other hand you can create hyperlinks between notes which is great and also the reminder is excellent with some options that most other reminders don't have. For extensive and elaborate notes the OneNote app is still No 1.","On the other hand you can create hyperlinks between notes which is great and also the reminder is excellent with some options that most other reminders don't have.","1","0","0","0","0","0","0","0","0","0"
"iteration_8","Messenger","COMMUNICATION","3bc87987-0185-410f-8ce4-09368798ffad","0","Sep 15, 2022","1","f_174","Chat head problem, working slow,call connection problem and so many others problem now showing on messenger","Chat head problem, working slow,call connection problem and so many others problem now showing on messenger","0","0","0","0","1","0","0","0","0","0"
"iteration_8","SAMSUNG Smart Washer/Dryer","TOOLS","af17500a-75f1-4c65-acdf-7d8707bdac52","2","Mar 17, 2022","1","f_241","I need the # for customer service. Smart care wont allow me to see it. The washer and dryer have been pathetic and the constant calls to repair guy are very upsetting and expensive!!!!!","The washer and dryer have been pathetic and the constant calls to repair guy are very upsetting and expensive!!!!!","0","0","0","0","1","0","1","0","0","0"
"iteration_8","OnePlus Health","TOOLS","685e516f-7c22-4b50-86b3-c8066993460b","0","Feb 13, 2022","3","f_164","The outdoor cycling work out mode does not work at all. I was told it would be fixed in the last release. Update: it works if you wait up to 5 minutes for gps lock and for to turn green.","The outdoor cycling work out mode does not work at all.","0","0","0","0","1","0","0","0","0","0"
