app_name,categoryId,reviewId,sentenceId,feature,review,sentence,emotion-primary-agreement
Turtl,PRODUCTIVITY,61bfe7a4-c63d-479a-87ba-a727a3ece5a9,2,Lightweight,I ❤ Turtl. It has never let me down. The software app is lightweight and doesn't require a lot of permissions.,The software app is lightweight and doesn't require a lot of permissions.,Joy
MixNote NotePad Notes,PRODUCTIVITY,c7763205-9bae-47f7-b38f-6007d7bf6177,0,Cloud Storage,"Very Nice app... but when you guys are going to launche a cloud storage 
facility? And a request....please make the app movable to the SD card","Very Nice app... but when you guys are going to launche a cloud storage 
facility?",Anticipation
WhatsApp Messenger,COMMUNICATION,9bd6882e-0cf3-45a6-8aaa-d6c247c958af,0,Privacy Protection,It has advanced privacy protection.,It has advanced privacy protection.,Trust
Boosted Time Tracker,PRODUCTIVITY,09629059-3f4f-4ce3-9a8c-ccc7b30abb40,1,Subtasks,"Absolutely in love with the ability to create and track multiple projects and tasks within them. Something's I'd have liked to see - get reports of specific projects - ability to add subtasks to tasks But that's no dampner, boosted is really good!",Something's I'd have liked to see - get reports of specific projects - ability to add subtasks to tasks,Anticipation
Navigation for Google Maps Go,TRAVEL_AND_LOCAL,b0193656-2156-4195-88ba-4fa1fe1c228f,1,Transparency,"Privately & secure p.a . Transparency prevail the true , more secure and legibility features to featured name places or street. They can do everything you want to know with your legal needs in life with testimony . With God all things are possible. God is the greatest","Transparency prevail the true , more secure and legibility features to featured name places or street.",Trust
Lose Weight at Home in 30 Days,HEALTH_AND_FITNESS,2942ab0b-3134-4674-a711-79d215256fdc,0,Planner,It's good and great and it's has a meal planner it's quite helpful. For all struggles to lose weight this app is for you if you don't do the exercises you can't lose the weight of your's,It's good and great and it's has a meal planner it's quite helpful.,Joy
Couch to 5k & 10k,HEALTH_AND_FITNESS,d72d6508-bdc6-433d-82b4-dd908bee3128,0,Running,"I find this app frustrating as it has stopped working and not for the first time , today I was on week 7 workout 1 and it stopped working on my 25 minute run so I had to try and gauge myself when to stop, will be using a running watch from now on","I find this app frustrating as it has stopped working and not for the first time , today I was on week 7 workout 1 and it stopped working on my 25 minute run so I had to try and gauge myself when to stop, will be using a running watch from now on",Disgust
Any.do - To do list & Calendar,PRODUCTIVITY,5abe1e07-9daa-40af-b8ad-a625ac1e5cec,0,Planner,3 stars for asking me to rate a planner/task app I installed 1hr ago so I don't know how well it works for a few days minimum before asking for review. Now I won't remember to give a better rating if it's great bc they needed their review ASAP,3 stars for asking me to rate a planner/task app I installed 1hr ago so I don't know how well it works for a few days minimum before asking for review.,Surprise
WhatsApp Messenger,COMMUNICATION,1458f11e-8484-43c6-aa23-fe6a40f239ff,0,Calls,Video call very slow...video call cut nhi hota h,Video call very slow...video call cut nhi hota h,Sadness
Garmin Smartphone Link,TRAVEL_AND_LOCAL,0fdaf50c-268b-483f-9c16-2843d9405cb6,0,Memory usage,One huge problem: memory usage - 12 GB of storage used!!! No reason for that as I rarely use the app and have traveled only locally with it. No way to see what the space is used for nor can it be controlled. Other features seemed to work okay though in my part of the world there aren't many traffic alerts to be found. I may reinstall this app if I use it for travel. Otherwise: DELETE until needed. (Used with a Garmin RV 760.),One huge problem: memory usage - 12 GB of storage used!!!,Anger
