app_name,categoryId,reviewId,sentenceId,at,score,feature,review,sentence,QM-emotion-A,QM-emotion-B,QM-comments,MO-emotion-A,MO-emotion-B,MO-comments,XF-emotion-A,XF-emotion-B,XF-comments,emotion-A-agreement,emotion-B-agreement
Magic Earth Navigation & Maps,MAPS_AND_NAVIGATION,00022f01-2871-4c51-b039-ad54a5816aae,0,"Sep 06, 2022",4,f_410,"Routing is excellent, best I've tried so far! The AIDashcam would be more useful if it can define focus at infinity instead of auto focus. I also like to record my trips history like Google timeline but with greater accuracy and no big tech tracking. it would be something I really looking forward to have in ME instead of having to use another apps to record tracks separately. Even better if we can playback the dash cam footage with GPS track history overlay simultaneously.","Routing is excellent, best I've tried so far!",Joy,Trust,,Trust,,,Trust,,,Trust,
"Voice navigation, Weather App",MAPS_AND_NAVIGATION,00aad554-5b2d-4d1e-87a9-f7368130eafe,0,"Sep 09, 2022",5,f_409,Voice GPS maps gives you step by step driving directions. You can be guided thoroughly and get focused on driving. A ✌,Voice GPS maps gives you step by step driving directions.,Neutral,,,Neutral,,,Neutral,Joy,"If you do not read the review, it is neutral. Still, you can make the step of inferring that this kind of neutral sentence is positive, but this is a bit of interpretation",Neutral,
Simple ToDo — Task List & Plan,PRODUCTIVITY,00e6dd87-77e5-4b76-8f76-87aa1e2cdaed,1,"Dec 09, 2019",3,f_402,OK just like most apps. Would be better if it has text to speech. Alarm does not work. No AM or PM.,Would be better if it has text to speech.,Sadness,Anticipation,,Anticipation,Sadness,,Anticipation,,,Anticipation,Sadness
Google Lens,TOOLS,010d2015-df04-4608-bf18-63a0fe2055a0,0,"Aug 10, 2022",5,f_15,Handy translator,Handy translator,Joy,,,Joy,,,Joy,,,Joy,
Instagram,SOCIAL,012e923d-d9e9-46d3-9999-379d943c3adc,0,"Sep 14, 2022",5,f_218,Good customer feedback,Good customer feedback,Joy,,,Joy,,,Joy,,,Joy,
Material Notes: Colorful notes,PRODUCTIVITY,018397b4-fc15-4ba2-a93e-4119461758a5,0,"Dec 10, 2017",3,f_30,"Beautiful app, but without cloud sync","Beautiful app, but without cloud sync",Joy,Sadness,,Joy,Sadness,,Joy,Anticipation,,Joy,Sadness
Amber Weather,WEATHER,01cc8793-6db8-435f-bf0d-c6dcec230fd9,0,"Apr 23, 2021",3,f_35,"Up until recently, this app was amazing but now it struggles to find my location by both network and gps resulting in inaccurate weather. I hope this gets fixed soon","Up until recently, this app was amazing but now it struggles to find my location by both network and gps resulting in inaccurate weather.",Sadness,,,Disgust,,(claiming app is not suit for purpose),Sadness,,,Sadness,
Weather Radar Widget,WEATHER,01d4bdc4-59d2-4c16-a0b0-be80428a9a94,0,"Aug 30, 2021",5,f_472,"Excellent, the best Weather Radar Widget.","Excellent, the best Weather Radar Widget.",Joy,Trust,,Joy,,,Joy,Trust,"Even if the user does not put herself in the sentence, it can be argued that ""best"" is always personal and then it is trust",Joy,Trust
WhatsApp Wallpaper,PERSONALIZATION,0250aa68-248d-48a0-9818-9cd4f3a8b700,0,"Aug 24, 2020",1,f_482,Very annoying encryption information takes up a lot of screen. Have asked WA to remove it but they won't.,Very annoying encryption information takes up a lot of screen.,Sadness,,,Anger,,"""very annoying.."" ",Disgust,Anger,"The ""very"" makes me put Anger as second option",Anger,
Telegram,COMMUNICATION,0285cde0-a37a-4990-81ac-95741002186f,0,"Aug 22, 2022",3,f_220,The app helps you to meet new people but a lot of pornographical content,The app helps you to meet new people but a lot of pornographical content,Joy,Disgust,,Joy,Fear,,Sadness,Joy,The sentence mixes positive and negative ,Joy,
Facebook Lite,SOCIAL,02c0d8be-2fce-4553-9dc3-b217bc138500,0,"Sep 14, 2022",1,f_424,I hate that the most relevant comments are prioritized in comment section. Y'all gotta learn that we wanna see all the comments first. Let us decide if we wanna see the relevant comments 'coz sometimes they aren't really relevant.,I hate that the most relevant comments are prioritized in comment section.,Anger,,,Anger,,,Anger,,,Anger,
"Notebook - Notes,To-do,Journal",PRODUCTIVITY,03526036-f33b-46a6-a27f-9ab45db57d09,1,"Jun 23, 2022",5,f_40,"The features of the app are fantastic. In fact, they're the best I've seen in any notetaking app. Migrate from Evernote, sync across devices, browser-based access, and backup/export (Zoho and html formats) are all available. Tons of options and smooth functionality.","In fact, they're the best I've seen in any notetaking app.",Trust,,,Trust,,,Trust,,,Trust,
Repeat Habit - Habit tracker f,PRODUCTIVITY,037b7b4b-0ae3-46b2-a2a4-15a0939c02ba,0,"May 06, 2021",5,f_7,Amazing habit tracker. I've tried sooooo many but nothing satisfied me. This one on the other hand.... Absolutely blew my mind. Definitely recommend it to anyone.,Amazing habit tracker.,Joy,,,Joy,,,Joy,,,Joy,
ColorNote Notepad Notes,PRODUCTIVITY,03be8f94-5fd6-4ba0-bd75-1473d22d7de6,1,"Jun 29, 2022",2,f_271,"Updates needed 🙏 Please see task notes app (made by compilers hub - yellow coloured icon with image of mobile & pen), that app has formatting options like bold, underline, italic, double strike, font size selection like MS-OFFICE 🙏","Updates needed 🙏 Please see task notes app (made by compilers hub - yellow coloured icon with image of mobile & pen), that app has formatting options like bold, underline, italic, double strike, font size selection like MS-OFFICE 🙏",Anticipation,,,Anticipation,,,Anticipation,,,Anticipation,
ColorNote Notepad Notes,PRODUCTIVITY,03dacc12-a951-42b7-a65c-e0091f322535,2,"Jul 15, 2022",1,f_258,"Could be much better! Overrated like most free apps. No voice recognition, no support for S-pen, Zero rich text formatting options, and swipe gestures are missing. Another huge irritant is having to double click to edit! Why all this hassle? Yet there's no save button in the editor so you have to press the device back (soft) button multiple times to save! Definitely not easy to use. Purely overrated garbage. How is this on top of search? Pure hype!","No voice recognition, no support for S-pen, Zero rich text formatting options, and swipe gestures are missing.",Sadness,Anticipation,,Sadness,,,Sadness,,,Sadness,
SMS Backup+,TOOLS,03e332d2-74ea-4736-bb72-5f0fafd269e8,0,"Nov 25, 2018",3,f_130,"It backed up most texts fine, but the group chats came out very wonky. I have a group chat with my 2 sisters and my mom, and it seems to have separated the group so that I have a thread of replies from one sister, a thread from the other sister, and a thread from my mom. Messages with pictures are a little odd as well- sometimes they're in place in the thread, but some are separated out in their own thread.","It backed up most texts fine, but the group chats came out very wonky.",Joy,Sadness,,Trust,Sadness,,Sadness,Joy,The sentence mixes positive and negative ,Sadness,Joy
Verizon Messages,COMMUNICATION,040d6461-b165-4e47-b974-106191817c42,0,"Sep 09, 2022",3,f_468,I think it could be better it's supposed to be private messaging it's not completely or that's what I was told the + meant private 🤷 💯 🤔 🤔 🙃 not,I think it could be better it's supposed to be private messaging it's not completely or that's what I was told the + meant private 🤷 💯 🤔 🤔 🙃 not,Sadness,,,Fear,,,Sadness,,,Sadness,
SMS text messaging app,COMMUNICATION,048f1aa9-9924-4510-9df7-4bf8291642e1,0,"Aug 18, 2022",4,f_120,Watchap text messaging,Watchap text messaging,Neutral,,,Neutral,,,Reject,,didn't understand,Neutral,
Repeat Habit - Habit tracker f,PRODUCTIVITY,04af7854-0948-4613-a035-b8fabd895aa7,0,"Jun 20, 2021",5,f_7,This is so far the Best Habit Tracker !! Recommendation: Bring in visual Infographics Custom Start Date,This is so far the Best Habit Tracker !!,Trust,,,Trust,,the user relies on the app over other alternatives in the market,Trust,,,Trust,
Height Increase Workout,HEALTH_AND_FITNESS,050a9865-8da1-4d1d-b214-b7ed8eec528b,1,"Mar 31, 2022",5,f_494,Awesome app no video ads and if there are they are short and quick. Perfect diet planner and sleep tracker.exercises are easy to do and effective.,Perfect diet planner and sleep tracker.,Joy,,,Joy,,,Joy,,,Joy,
Material Notes: Colorful notes,PRODUCTIVITY,051917fb-14fa-4161-b2d0-1d79bd79e493,3,"Nov 02, 2016",5,f_378,I love it! I'd like to see a web version too though so I can access my notes from any device. .... Google integration please?,.... Google integration please?,Anticipation,,,Anticipation,,,Anticipation,,,Anticipation,
Samsung Notes,PRODUCTIVITY,05220555-5f78-4c64-9d31-87c525d87a92,1,"Jul 09, 2022",1,f_479,"After using it more than 2 years, Recently I found a problem. My notes are getting stored in internal memory (local Storage). I can NOT move my notes to extended SD card. There is no option to upload all notes to cloud without having actual copy on my internal memory. My local storage is full because of notes. Now looking for alternative apps",My notes are getting stored in internal memory (local Storage).,Neutral,,,Neutral,,,Neutral,,"You need to read the review to understand that this is bad, or else provide your own interpretation",Neutral,
Telegram,COMMUNICATION,05b31876-6f40-4474-b29f-9ff838c61aab,0,"Aug 30, 2022",5,f_310,Very fast and highly encrypted application,Very fast and highly encrypted application,Joy,Trust,,Joy,Trust,,Joy,,,Joy,Trust
"Notebook - Notes,To-do,Journal",PRODUCTIVITY,0622351d-8b11-4718-b38f-26e6627871a9,3,"Jul 18, 2022",5,f_246,Just what I needed. I needed a Notes App that would sync between my Android phone and my Windows desktop. My only complaint is that I wish it had more options for the individual notebook cover art. I would like to be able to use my own photos or graphics for any given notebook. But this is a minor issue. The App does what I need it to do!,I would like to be able to use my own photos or graphics for any given notebook.,Anticipation,,,Anticipation,,,Anticipation,,,Anticipation,
MAPS.ME: Offline maps GPS Nav,TRAVEL_AND_LOCAL,064ecf75-c723-48d0-8b06-b85f0f4c7802,5,"Jul 01, 2022",1,f_218,"It appears the only way the developers have to update this app is to uninstall it, delete all my downloaded maps and install the new version! So, now I've had to redo my settings and download my maps again - thanks for that! Also, there's a new button on the screen(online) which gives me no idea as to what it's used for. A hint would have been nice. No change from the last time a new version was rolled out. The developers are incapable of learning from their mistakes and customer feedback.",The developers are incapable of learning from their mistakes and customer feedback.,Sadness,Anger,,Disgust,,,Anger,,,Anger,
Forest: Focus for Productivity,PRODUCTIVITY,06e3c034-0e3e-47e1-9133-e032ddb13d2b,0,"Sep 10, 2022",5,f_261,This app has been very useful to me.... due to the timer thing I could just focus more on studying rather than procrastinate,This app has been very useful to me.... due to the timer thing I could just focus more on studying rather than procrastinate,Trust,,,Trust,,,Trust,,,Trust,
Cozi Family Organizer,PRODUCTIVITY,070cb3f4-688b-4ce5-8db7-73f54251362c,1,"Jul 12, 2022",5,f_101,"No complaints. It works great for a shared family calendar, grocery lists, and to-do lists. I can put assignments on my husband's to-do list.","It works great for a shared family calendar, grocery lists, and to-do lists.",Joy,,,Joy,,,Joy,,,Joy,
adidas Running: Sports Tracker,HEALTH_AND_FITNESS,0759e2bc-0f59-411a-a61c-13eb12fa62d6,1,"Aug 07, 2022",5,f_15,Love this app. Can I suggest a translator in the news feed with our friends we follow please,Can I suggest a translator in the news feed with our friends we follow please,Anticipation,,,Anticipation,,,Anticipation,,,Anticipation,
Stopwatch Timer,TOOLS,077c2f79-b02f-4ffb-8d19-a07eefc72cff,0,"Jun 13, 2022",4,f_63,Pretty useful as regular timer and stopwatch,Pretty useful as regular timer and stopwatch,Joy,,,Joy,,,Joy,,,Joy,
Buttocks Workout - Fitness App,HEALTH_AND_FITNESS,077c6eb0-cff4-4704-9dbb-c437ef753c0a,0,"Jul 01, 2022",5,f_344,Educational,Educational,Neutral,,,Joy,,,Joy,Neutral,It could in fact be just a description about the domain,Joy,Neutral
