Emotion,Accuracy,Precision,Recall,F1
Joy,0.7823741007194245,0.6846590909090909,0.6478494623655914,0.6657458563535912
Sadness,0.8408273381294964,0.723404255319149,0.6732673267326733,0.6974358974358974
Anticipation,0.9136690647482014,0.7087378640776699,0.8021978021978022,0.7525773195876289
Trust,0.8857913669064749,0.6190476190476191,0.4276315789473684,0.5058365758754864
Neutral,0.8866906474820144,0.33620689655172414,0.4431818181818182,0.38235294117647056
Surprise,0.9379496402877698,0.3170731707317073,0.24074074074074073,0.2736842105263158
Disgust,0.9361510791366906,0.3333333333333333,0.42,0.37168141592920356
Anger,0.9424460431654677,0.2597402597402597,0.7407407407407407,0.38461538461538464
Fear,0.9649280575539568,0.2222222222222222,0.25,0.23529411764705882
Reject,0.9865107913669064,0.6296296296296297,0.7727272727272727,0.6938775510204082
Weighted Average,0.9077338129496404,0.4834054341562405,0.5418336742634007,0.4963101270167446
Non-weighted Average,0.9077338129496403,0.7722898319057385,0.7763729407761792,0.7743087796897842
