Emotion,Accuracy,Precision,Recall,F1
Joy,0.8066546762589928,0.7315634218289085,0.6666666666666666,0.6976090014064698
Sadness,0.8893884892086331,0.8061224489795918,0.7821782178217822,0.7939698492462312
Anticipation,0.9388489208633094,0.7567567567567568,0.9230769230769231,0.8316831683168316
Trust,0.9010791366906474,0.675,0.5328947368421053,0.5955882352941176
Neutral,0.8776978417266187,0.34415584415584416,0.6022727272727273,0.4380165289256198
Surprise,0.9289568345323741,0.2549019607843137,0.24074074074074073,0.24761904761904763
Disgust,0.9424460431654677,0.29411764705882354,0.2,0.23809523809523808
Anger,0.9595323741007195,0.3269230769230769,0.6296296296296297,0.43037974683544306
Fear,0.9766187050359713,0.4642857142857143,0.5416666666666666,0.5
Reject,0.9955035971223022,1.0,0.7727272727272727,0.8717948717948718
Weighted Average,0.9216726618705037,0.565382687077303,0.5891853581444515,0.564475568753387
Non-weighted Average,0.9216726618705036,0.8055937436307306,0.8132871814642513,0.8093708345162959
